State,Enrolment,Crime Index,Population,Region
Johor,97.09,5812,4009.7,West Malaysia
Kedah,90.2,4131,2131.4,West Malaysia
Kelantan,82.32,4531,1792.5,West Malaysia
Melaka,97.4,1794,998.4,West Malaysia
Negeri Sembilan,103.2,2431,1200,West Malaysia
Pahang,87.8,4431,1591.3,West Malaysia
Perak,90.02,3388,2496,West Malaysia
Perlis,101.65,493,284.9,West Malaysia
Pulau Pinang,97.43,3853,1740.4,West Malaysia
Sabah,81.95,5799,3418.8,East Malaysia
Sarawak,85.64,7850,2453.7,East Malaysia
Selangor,94.5,17272,6994.4,West Malaysia
Terengganu,85.2,2099,1149.4,West Malaysia
Kuala Lumpur,85.6,11209,1982.1,West Malaysia
Putrajaya,82.9,,,West Malaysia
